日期,订单号,商品,金额,状态,评分,评价,退款
2026-09-08,D0801,招牌鸡腿饭,28,完成,5,分量足，味道很好，送得也快,否
2026-09-08,D0802,番茄鸡蛋饭,22,完成,5,性价比很高,否
2026-09-08,D0803,香辣鸡排饭,26,完成,4,鸡排酥脆，整体不错,否
2026-09-08,D0804,招牌鸡腿饭,28,完成,5,鸡腿很香,否
2026-09-08,D0805,酸菜鱼套餐,36,完成,4,鱼很新鲜,否
2026-09-09,D0901,番茄鸡蛋饭,22,完成,5,味道不错,否
2026-09-09,D0902,招牌鸡腿饭,28,完成,5,出餐很快,否
2026-09-09,D0903,香辣鸡排饭,26,完成,3,米饭有点少,否
2026-09-09,D0904,番茄鸡蛋饭,22,完成,5,下饭，推荐,否
2026-09-09,D0905,烤茄子,12,退款,2,漏放了餐具，联系后处理很慢,是
2026-09-10,D1001,招牌鸡腿饭,28,完成,5,包装很好,否
2026-09-10,D1002,番茄鸡蛋饭,22,完成,5,还会回购,否
2026-09-10,D1003,酸菜鱼套餐,36,完成,4,分量可以,否
2026-09-10,D1004,香辣鸡排饭,26,完成,4,送到时还是热的,否
2026-09-10,D1005,番茄鸡蛋饭,22,完成,5,汤汁足,否
2026-09-11,D1101,招牌鸡腿饭,28,完成,5,鸡腿很大,否
2026-09-11,D1102,番茄鸡蛋饭,22,完成,5,很好吃,否
2026-09-11,D1103,烤茄子,12,完成,3,味道偏淡,否
2026-09-11,D1104,香辣鸡排饭,26,完成,4,有点辣但很好吃,否
2026-09-11,D1105,招牌鸡腿饭,28,完成,5,推荐给同学了,否
2026-09-12,D1201,番茄鸡蛋饭,22,完成,5,实惠好吃,否
2026-09-12,D1202,招牌鸡腿饭,28,完成,4,味道不错，配送慢了一点,否
2026-09-12,D1203,酸菜鱼套餐,36,完成,5,鱼肉很多,否
2026-09-12,D1204,番茄鸡蛋饭,22,完成,5,很适合上课日常吃,否
2026-09-12,D1205,香辣鸡排饭,26,退款,2,少了一份饮料,是
2026-09-13,D1301,招牌鸡腿饭,28,完成,5,鸡腿外酥里嫩,否
2026-09-13,D1302,番茄鸡蛋饭,22,完成,5,分量足,否
2026-09-13,D1303,香辣鸡排饭,26,完成,4,下次还点,否
2026-09-13,D1304,招牌鸡腿饭,28,完成,5,出餐很快,否
2026-09-13,D1305,烤茄子,12,完成,3,分量偏少,否
2026-09-14,D1401,番茄鸡蛋饭,22,完成,5,味道不错,否
2026-09-14,D1402,招牌鸡腿饭,28,完成,5,鸡腿很香,否
2026-09-14,D1403,酸菜鱼套餐,36,完成,4,整体满意,否
2026-09-14,D1404,香辣鸡排饭,26,完成,4,包装干净,否
2026-09-14,D1405,番茄鸡蛋饭,22,完成,5,很适合学生,否
2026-09-14,D1406,招牌鸡腿饭,28,完成,5,鸡腿很香，分量足,否
2026-09-14,D1407,番茄鸡蛋饭,22,完成,5,出餐很快,否
2026-09-14,D1408,芝士牛肉饭,32,完成,4,牛肉很多，味道不错,否
2026-09-14,D1409,芝士牛肉饭,32,完成,5,第一次点，超出预期,否
2026-09-14,D1410,烤茄子,12,退款,2,少了一份饮料,是
